Province_State,Country_Region,Confirmed,Deaths
Michigan,US,35336,136
Michigan,US,91,1
Michigan,US,284,2
Michigan,US,3871,47
Michigan,US,832,3
Michigan,US,5405,33
Michigan,US,10809,47
Michigan,US,288,2
Michigan,US,539,7
Michigan,US,50986,344
Michigan,US,783,13
Michigan,US,4753,9
Michigan,US,1333,12
Michigan,US,1651,6
Michigan,US,1022,7
Michigan,US,6756,9
Michigan,US,4344,21
Michigan,US,458,11
Michigan,US,9011,47
Michigan,US,2427,21
Michigan,US,271,4
Michigan,US,8016,50
Michigan,US,1909,12
Michigan,US,71528,347
Michigan,US,956,3
Michigan,US,709,7
Michigan,US,174,7
Michigan,US,780,5
Michigan,US,202,2
Michigan,US,915,11
Michigan,US,15306,77
Michigan,US,1861,3
Michigan,US,252,4
Michigan,US,686,8
Michigan,US,10457,71
Michigan,US,1420,7
Michigan,US,399,4
Michigan,US,4039,28
Michigan,US,7947,88
Michigan,US,2160,21
Michigan,US,2552,19
Michigan,US,43,1
Michigan,US,3396,31
Michigan,US,22653,78
Michigan,US,101024,649
Michigan,US,1377,10
Minnesota,US,322,5
Minnesota,US,21341,62
Minnesota,US,1336,4
Minnesota,US,1824,4
Minnesota,US,2805,19
Minnesota,US,260,1
Minnesota,US,3551,4
Minnesota,US,1137,4
Minnesota,US,1610,4
Minnesota,US,5995,9
Minnesota,US,945,6
Minnesota,US,476,3
Minnesota,US,2355,13
Minnesota,US,4404,3
Minnesota,US,291,4
Minnesota,US,151,1
Minnesota,US,542,4
Minnesota,US,2531,13
Minnesota,US,26199,57
Minnesota,US,1284,2
Minnesota,US,1616,9
Minnesota,US,670,5
Minnesota,US,845,4
Minnesota,US,2040,12
Minnesota,US,2751,7
Minnesota,US,235,0
Minnesota,US,75824,193
Minnesota,US,729,0
Minnesota,US,760,2
Minnesota,US,1658,11
Minnesota,US,1707,15
Minnesota,US,327,0
Minnesota,US,472,8
Minnesota,US,1911,11
Minnesota,US,122,2
Minnesota,US,465,5
Minnesota,US,268,2
Minnesota,US,407,0
Minnesota,US,134,0
Minnesota,US,958,6
Minnesota,US,216,0
Minnesota,US,1144,4
Minnesota,US,260,1
Minnesota,US,229,0
Minnesota,US,922,2
Minnesota,US,1826,6
Minnesota,US,753,6
Minnesota,US,948,10
Minnesota,US,1287,5
Minnesota,US,3248,4
Minnesota,US,321,1
Minnesota,US,1596,3
Minnesota,US,1137,0
Minnesota,US,269,3
Minnesota,US,11964,13
Minnesota,US,1863,10
Minnesota,US,566,4
Minnesota,US,834,10
Minnesota,US,276,2
Minnesota,US,1396,4
Minnesota,US,412,2
Minnesota,US,31707,118
Minnesota,US,140,0
Minnesota,US,582,2
Minnesota,US,489,1
Minnesota,US,3904,11
Minnesota,US,377,0
Minnesota,US,772,4
Minnesota,US,8481,18
Minnesota,US,4890,14
Minnesota,US,458,3
Minnesota,US,9435,39
Minnesota,US,10206,31
Minnesota,US,2109,9
Minnesota,US,539,1
Minnesota,US,271,2
Minnesota,US,901,3
Minnesota,US,110,1
Minnesota,US,12251,10
Minnesota,US,973,2
Minnesota,US,616,3
Minnesota,US,873,3
Minnesota,US,16223,35
Minnesota,US,506,1
Minnesota,US,202,3
Minnesota,US,2985,3
Minnesota,US,5812,28
Minnesota,US,341,2
Mississippi,US,1405,7
Mississippi,US,2868,14
Mississippi,US,740,3
Mississippi,US,866,8
Mississippi,US,423,4
Mississippi,US,1755,4
Mississippi,US,1270,4
Mississippi,US,561,5
Mississippi,US,1602,9
Mississippi,US,487,1
Mississippi,US,677,2
Mississippi,US,829,1
Mississippi,US,1357,9
Mississippi,US,1410,5
Mississippi,US,1473,5
Mississippi,US,2066,2
Mississippi,US,10813,44
Mississippi,US,5622,12
Mississippi,US,468,2
Mississippi,US,1482,1
Mississippi,US,576,0
Mississippi,US,1158,9
Mississippi,US,2930,10
Mississippi,US,11577,26
Mississippi,US,13479,50
Mississippi,US,1288,7
Mississippi,US,485,1
Mississippi,US,46,1
Mississippi,US,1722,8
Mississippi,US,8748,8
Mississippi,US,968,1
Mississippi,US,374,0
Mississippi,US,769,1
Mississippi,US,5210,12
Mississippi,US,547,1
Mississippi,US,4241,21
Mississippi,US,4717,4
Mississippi,US,4688,7
Mississippi,US,903,3
Mississippi,US,1402,6
Mississippi,US,7027,17
Mississippi,US,1765,7
Mississippi,US,1668,8
Mississippi,US,4242,16
Mississippi,US,6155,14
Mississippi,US,2003,12
Mississippi,US,1883,7
Mississippi,US,2411,8
Mississippi,US,850,6
Mississippi,US,2726,7
Mississippi,US,1405,6
Mississippi,US,658,2
Mississippi,US,2415,5
Mississippi,US,2504,4
Mississippi,US,3885,6
Mississippi,US,620,0
Mississippi,US,2249,6
Mississippi,US,1902,10
Mississippi,US,2016,4
Mississippi,US,337,1
Mississippi,US,9268,30
Mississippi,US,1246,6
Mississippi,US,214,1
Mississippi,US,1415,13
Mississippi,US,927,7
Mississippi,US,1273,0
Mississippi,US,1004,3
Mississippi,US,584,1
Mississippi,US,1710,9
Mississippi,US,1205,8
Mississippi,US,1429,7
Mississippi,US,602,1
Mississippi,US,0,0
Mississippi,US,1930,8
Mississippi,US,983,6
Mississippi,US,2300,7
Mississippi,US,1791,4
Mississippi,US,771,4
Mississippi,US,711,5
Mississippi,US,561,2
Mississippi,US,1489,4
Mississippi,US,1078,2
Mississippi,US,2716,2
Missouri,US,1045,5
Missouri,US,1020,5
Missouri,US,222,1
Missouri,US,942,9
Missouri,US,1314,7
Missouri,US,564,4
Missouri,US,814,10
Missouri,US,805,13
Missouri,US,336,1
Missouri,US,12641,14
Missouri,US,5029,18
Missouri,US,1966,10
Missouri,US,197,4
Missouri,US,2639,7
Missouri,US,1822,14
Missouri,US,3630,9
Missouri,US,424,3
Missouri,US,242,0
Missouri,US,5854,35
Missouri,US,622,2
Missouri,US,280,1
Missouri,US,4638,16
Missouri,US,232,0
Missouri,US,6029,47
Missouri,US,828,8
Missouri,US,4458,18
Missouri,US,718,14
Missouri,US,1011,13
Missouri,US,329,0
Missouri,US,902,6
Missouri,US,237,8
Missouri,US,299,5
Missouri,US,719,3
Missouri,US,424,3
Missouri,US,1649,0
Missouri,US,4269,27
Missouri,US,604,6
Missouri,US,344,0
Missouri,US,16931,48
Missouri,US,305,3
Missouri,US,230,4
Missouri,US,1350,8
Missouri,US,363,5
Missouri,US,175,1
Missouri,US,406,3
Missouri,US,1830,11
Missouri,US,390,6
Missouri,US,22513,140
Missouri,US,6851,19
Missouri,US,12057,71
Missouri,US,2818,14
Missouri,US,30872,86
Missouri,US,165,2
Missouri,US,1655,7
Missouri,US,1595,21
Missouri,US,1495,6
Missouri,US,543,1
Missouri,US,3212,10
Missouri,US,236,1
Missouri,US,631,5
Missouri,US,753,6
Missouri,US,724,6
Missouri,US,333,6
Missouri,US,1450,9
Missouri,US,903,1
Missouri,US,101,2
Missouri,US,1267,3
Missouri,US,459,3
Missouri,US,695,3
Missouri,US,402,4
Missouri,US,476,15
Missouri,US,739,18
Missouri,US,1031,2
Missouri,US,2097,8
Missouri,US,1483,2
Missouri,US,344,1
Missouri,US,592,3
Missouri,US,243,2
Missouri,US,631,4
Missouri,US,920,3
Missouri,US,2756,8
Missouri,US,1982,13
Missouri,US,816,2
Missouri,US,2204,9
Missouri,US,1663,2
Missouri,US,2500,5
Missouri,US,135,2
Missouri,US,463,0
Missouri,US,1371,7
Missouri,US,1045,15
Missouri,US,222,4
Missouri,US,394,2
Missouri,US,1298,9
Missouri,US,107,2
Missouri,US,116,1
Missouri,US,2298,9
Missouri,US,274,3
Missouri,US,291,1
Missouri,US,23949,55
Missouri,US,534,0
Missouri,US,3828,28
Missouri,US,57090,246
Missouri,US,14958,65
Missouri,US,716,2
Missouri,US,977,4
Missouri,US,1032,5
Missouri,US,271,0
Missouri,US,2660,16
Missouri,US,823,7
Missouri,US,0,0
Missouri,US,1160,8
Missouri,US,1827,18
Missouri,US,1064,15
Missouri,US,431,6
Missouri,US,1824,10
Missouri,US,68,0
Missouri,US,720,5
Montana,US,366,1
Montana,US,630,5
Montana,US,295,0
Montana,US,129,1
Montana,US,283,4
Montana,US,21,0
Montana,US,3670,8
Montana,US,96,3
Montana,US,370,3
Montana,US,42,0
Montana,US,271,1
Montana,US,461,1
Montana,US,73,0
Montana,US,294,1
Montana,US,3198,10
Montana,US,8380,6
Montana,US,47,0
Montana,US,696,2
Montana,US,16,0
Montana,US,81,0
Montana,US,687,0
Montana,US,400,2
Montana,US,41,0
Montana,US,990,5
Montana,US,3206,9
Montana,US,88,0
Montana,US,676,4
Montana,US,256,0
Montana,US,45,1
Montana,US,95,1
Montana,US,232,1
Montana,US,6214,7
Montana,US,94,0
Montana,US,859,3
Montana,US,7,0
Montana,US,107,1
Montana,US,184,0
Montana,US,22,0
Montana,US,273,1
Montana,US,43,1
Montana,US,947,5
Montana,US,336,0
Montana,US,433,0
Montana,US,187,0
Montana,US,381,4
Montana,US,61,0
Montana,US,1428,0
Montana,US,142,0
Montana,US,118,0
Montana,US,255,1
Montana,US,140,1
Montana,US,10,0
Montana,US,0,0
Montana,US,157,1
Montana,US,54,0
Montana,US,20,0
Montana,US,6802,18
Nebraska,US,1161,0
Nebraska,US,157,0
Nebraska,US,1,0
Nebraska,US,21,0
Nebraska,US,5,0
Nebraska,US,162,0
Nebraska,US,400,0
Nebraska,US,59,0
Nebraska,US,66,0
Nebraska,US,1851,0
Nebraska,US,265,0
Nebraska,US,353,0
Nebraska,US,1344,0
Nebraska,US,240,0
Nebraska,US,54,0
Nebraska,US,58,0
Nebraska,US,304,0
Nebraska,US,208,0
Nebraska,US,475,0
Nebraska,US,261,0
Nebraska,US,240,0
Nebraska,US,1229,0
Nebraska,US,140,0
Nebraska,US,648,0
Nebraska,US,43,0
Nebraska,US,193,0
Nebraska,US,1905,0
Nebraska,US,34486,0
Nebraska,US,51,0
Nebraska,US,239,0
Nebraska,US,32,0
Nebraska,US,53,0
Nebraska,US,188,0
Nebraska,US,519,0
Nebraska,US,57,0
Nebraska,US,59,0
Nebraska,US,51,0
Nebraska,US,10,0
Nebraska,US,61,0
Nebraska,US,3690,0
Nebraska,US,460,0
Nebraska,US,34,0
Nebraska,US,6,0
Nebraska,US,43,0
Nebraska,US,347,0
Nebraska,US,10,0
Nebraska,US,246,0
Nebraska,US,151,0
Nebraska,US,85,0
Nebraska,US,162,0
Nebraska,US,256,0
Nebraska,US,8,0
Nebraska,US,88,0
Nebraska,US,226,0
Nebraska,US,19452,0
Nebraska,US,1448,0
Nebraska,US,13,0
Nebraska,US,15,0
Nebraska,US,1946,0
Nebraska,US,9,0
Nebraska,US,316,0
Nebraska,US,161,0
Nebraska,US,128,0
Nebraska,US,247,0
Nebraska,US,144,0
Nebraska,US,624,0
Nebraska,US,55,0
Nebraska,US,88,0
Nebraska,US,355,0
Nebraska,US,213,0
Nebraska,US,1543,0
Nebraska,US,207,0
Nebraska,US,197,0
Nebraska,US,351,0
Nebraska,US,6,0
Nebraska,US,715,0
Nebraska,US,12245,0
Nebraska,US,836,0
Nebraska,US,1786,0
Nebraska,US,390,0
Nebraska,US,88,0
Nebraska,US,83,0
Nebraska,US,14,0
Nebraska,US,109,0
Nebraska,US,207,0
Nebraska,US,13,0
Nebraska,US,436,0
Nebraska,US,3195,367
Nebraska,US,102,0
Nebraska,US,869,0
Nebraska,US,230,0
Nebraska,US,110,0
Nebraska,US,24,0
Nebraska,US,768,0
Nevada,US,3996,9
Nevada,US,1458,1
Nevada,US,129833,484
Nevada,US,2139,7
Nevada,US,2807,3
Nevada,US,24,1
Nevada,US,109,0
Nevada,US,1525,3
Nevada,US,233,0
Nevada,US,234,0
Nevada,US,2598,18
Nevada,US,246,1
Nevada,US,1307,12
Nevada,US,129,0
Nevada,US,74,1
Nevada,US,0,0
Nevada,US,27219,52
Nevada,US,464,0
New Hampshire,US,2967,13
New Hampshire,US,2126,16
New Hampshire,US,3505,19
New Hampshire,US,1511,9
New Hampshire,US,5567,6
New Hampshire,US,24870,64
New Hampshire,US,8271,34
New Hampshire,US,16920,67
New Hampshire,US,6298,20
New Hampshire,US,2015,8
New Hampshire,US,4638,6
New Jersey,US,16936,106
New Jersey,US,52230,230
New Jersey,US,25042,84
New Jersey,US,33467,151
New Jersey,US,4225,21
New Jersey,US,10665,43
New Jersey,US,49053,241
New Jersey,US,16860,83
New Jersey,US,40829,170
New Jersey,US,6716,47
New Jersey,US,20048,109
New Jersey,US,44591,202
New Jersey,US,35087,190
New Jersey,US,31710,107
New Jersey,US,34109,259
New Jersey,US,32803,169
New Jersey,US,3354,18
New Jersey,US,16268,35
New Jersey,US,8061,62
New Jersey,US,509,0
New Jersey,US,30351,142
New Jersey,US,5747,35
New Mexico,US,37682,177
New Mexico,US,94,2
New Mexico,US,5163,40
New Mexico,US,1872,9
New Mexico,US,531,4
New Mexico,US,2855,25
New Mexico,US,123,2
New Mexico,US,17424,64
New Mexico,US,3638,15
New Mexico,US,1608,7
New Mexico,US,283,1
New Mexico,US,14,0
New Mexico,US,283,0
New Mexico,US,3746,16
New Mexico,US,1186,10
New Mexico,US,1364,1
New Mexico,US,1332,5
New Mexico,US,6474,20
New Mexico,US,223,2
New Mexico,US,3216,13
New Mexico,US,322,7
New Mexico,US,2857,16
New Mexico,US,1145,7
New Mexico,US,9077,39
New Mexico,US,1808,12
New Mexico,US,9425,34
New Mexico,US,9028,26
New Mexico,US,384,5
New Mexico,US,989,9
New Mexico,US,1670,7
New Mexico,US,580,12
New Mexico,US,674,0
New Mexico,US,195,0
New Mexico,US,4544,31
New York,US,14565,42
New York,US,1358,7
New York,US,117434,554
New York,US,8929,26
New York,US,3020,16
New York,US,3624,12
New York,US,4799,32
New York,US,5091,25
New York,US,1927,12
New York,US,5018,9
New York,US,2506,11
New York,US,2565,14
New York,US,1724,7
New York,US,16109,75
New York,US,51575,227
New York,US,1431,4
New York,US,1987,10
New York,US,2630,22
New York,US,3002,16
New York,US,1989,14
New York,US,171,1
New York,US,2899,19
New York,US,5275,7
New York,US,190645,1059
New York,US,1098,4
New York,US,2522,9
New York,US,2972,3
New York,US,31899,124
New York,US,2765,10
New York,US,96876,303
New York,US,119544,470
New York,US,11557,62
New York,US,10982,48
New York,US,31388,90
New York,US,4500,22
New York,US,29308,107
New York,US,1820,4
New York,US,6219,13
New York,US,2498,10
New York,US,0,60
New York,US,6106,11
New York,US,189473,821
New York,US,8323,21
New York,US,40420,163
New York,US,23137,73
New York,US,12251,37
New York,US,8547,20
New York,US,1242,4
New York,US,817,0
New York,US,1467,8
New York,US,3940,7
New York,US,3913,16
New York,US,95801,405
New York,US,5366,15
New York,US,2366,3
New York,US,4838,6
New York,US,7428,31
New York,US,180,0
New York,US,3519,11
New York,US,2944,15
New York,US,3847,29
New York,US,59602,212
New York,US,1744,6
New York,US,749,1
North Carolina,US,13557,39
North Carolina,US,2629,3
North Carolina,US,591,4
North Carolina,US,1866,2
North Carolina,US,1453,9
North Carolina,US,839,0
North Carolina,US,3363,4
North Carolina,US,1338,6
North Carolina,US,2830,9
North Carolina,US,8446,18
North Carolina,US,13209,38
North Carolina,US,5325,14
North Carolina,US,14934,45
North Carolina,US,5407,13
North Carolina,US,360,0
North Carolina,US,3183,0
North Carolina,US,1343,0
North Carolina,US,12752,40
North Carolina,US,3850,4
North Carolina,US,1609,2
North Carolina,US,1440,4
North Carolina,US,599,0
North Carolina,US,7626,14
North Carolina,US,4218,6
North Carolina,US,5966,12
North Carolina,US,23549,6
North Carolina,US,1216,5
North Carolina,US,2186,3
North Carolina,US,11359,30
North Carolina,US,2702,0
North Carolina,US,4016,8
North Carolina,US,25192,16
North Carolina,US,4154,6
North Carolina,US,27205,76
North Carolina,US,7308,1
North Carolina,US,16012,54
North Carolina,US,497,1
North Carolina,US,598,2
North Carolina,US,4255,3
North Carolina,US,1775,0
North Carolina,US,31533,51
North Carolina,US,4665,13
North Carolina,US,9398,12
North Carolina,US,3175,12
North Carolina,US,5387,26
North Carolina,US,1514,7
North Carolina,US,5432,5
North Carolina,US,318,1
North Carolina,US,11876,43
North Carolina,US,2142,2
North Carolina,US,17595,21
North Carolina,US,590,0
North Carolina,US,4861,10
North Carolina,US,4411,3
North Carolina,US,5513,3
North Carolina,US,1421,4
North Carolina,US,1170,8
North Carolina,US,1842,4
North Carolina,US,2767,3
North Carolina,US,82747,125
North Carolina,US,620,4
North Carolina,US,1997,5
North Carolina,US,7531,25
North Carolina,US,8951,26
North Carolina,US,13681,26
North Carolina,US,1316,3
North Carolina,US,14666,38
North Carolina,US,9521,8
North Carolina,US,596,1
North Carolina,US,1642,1
North Carolina,US,4196,5
North Carolina,US,705,1
North Carolina,US,2649,4
North Carolina,US,16721,0
North Carolina,US,971,0
North Carolina,US,8765,27
North Carolina,US,3839,15
North Carolina,US,10867,30
North Carolina,US,6139,23
North Carolina,US,9744,45
North Carolina,US,3899,17
North Carolina,US,5011,3
North Carolina,US,3276,7
North Carolina,US,5348,10
North Carolina,US,2759,22
North Carolina,US,4815,30
North Carolina,US,758,4
North Carolina,US,1228,6
North Carolina,US,293,0
North Carolina,US,18303,27
North Carolina,US,16476,37
North Carolina,US,3364,6
North Carolina,US,114281,47
North Carolina,US,1237,1
North Carolina,US,1069,3
North Carolina,US,3192,5
North Carolina,US,7539,22
North Carolina,US,4088,25
North Carolina,US,5682,17
North Carolina,US,2715,10
North Carolina,US,931,9
North Dakota,US,81,1
North Dakota,US,570,3
North Dakota,US,326,0
North Dakota,US,15,0
North Dakota,US,315,0
North Dakota,US,104,0
North Dakota,US,60,0
North Dakota,US,7383,9
North Dakota,US,16028,25
North Dakota,US,153,0
North Dakota,US,239,0
North Dakota,US,108,1
North Dakota,US,112,1
North Dakota,US,107,0
North Dakota,US,86,1
North Dakota,US,195,1
North Dakota,US,69,0
North Dakota,US,5626,8
North Dakota,US,53,2
North Dakota,US,93,0
North Dakota,US,227,0
North Dakota,US,68,0
North Dakota,US,156,1
North Dakota,US,62,0
North Dakota,US,163,2
North Dakota,US,71,0
North Dakota,US,424,0
North Dakota,US,418,2
North Dakota,US,462,1
North Dakota,US,2082,7
North Dakota,US,734,1
North Dakota,US,104,1
North Dakota,US,57,0
North Dakota,US,355,1
North Dakota,US,162,1
North Dakota,US,679,3
North Dakota,US,309,2
North Dakota,US,73,0
North Dakota,US,852,0
North Dakota,US,1752,3
North Dakota,US,168,0
North Dakota,US,34,0
North Dakota,US,286,1
North Dakota,US,6,0
North Dakota,US,1959,1
North Dakota,US,70,0
North Dakota,US,1407,2
North Dakota,US,116,0
North Dakota,US,383,1
North Dakota,US,0,2
North Dakota,US,582,0
North Dakota,US,4340,8
North Dakota,US,152,0
North Dakota,US,1903,5
Northern Mariana Islands,US,1993,9
Ohio,US,1586,13
Ohio,US,5764,56
Ohio,US,2346,28
Ohio,US,3458,55
Ohio,US,4441,15
Ohio,US,2527,21
Ohio,US,3502,24
Ohio,US,2620,16
Ohio,US,22660,124
Ohio,US,879,16
Ohio,US,1827,19
Ohio,US,8536,74
Ohio,US,13463,69
Ohio,US,2582,22
Ohio,US,4491,56
Ohio,US,1555,14
Ohio,US,2314,23
Ohio,US,35461,475
Ohio,US,2587,19
Ohio,US,1853,20
Ohio,US,11327,41
Ohio,US,3956,37
Ohio,US,9093,55
Ohio,US,1924,16
Ohio,US,70632,322
Ohio,US,2017,18
Ohio,US,1652,18
Ohio,US,2273,34
Ohio,US,8852,52
Ohio,US,2248,28
Ohio,US,49371,224
Ohio,US,3707,25
Ohio,US,1371,16
Ohio,US,673,7
Ohio,US,1427,11
Ohio,US,2611,23
Ohio,US,1511,8
Ohio,US,660,13
Ohio,US,2829,30
Ohio,US,1883,16
Ohio,US,3317,32
Ohio,US,2707,18
Ohio,US,6889,99
Ohio,US,4529,25
Ohio,US,8959,46
Ohio,US,2003,22
Ohio,US,11213,132
Ohio,US,24057,153
Ohio,US,2142,14
Ohio,US,10553,99
Ohio,US,4274,21
Ohio,US,7210,52
Ohio,US,914,7
Ohio,US,1924,13
Ohio,US,5644,55
Ohio,US,720,7
Ohio,US,32407,264
Ohio,US,647,3
Ohio,US,1607,14
Ohio,US,5934,25
Ohio,US,671,4
Ohio,US,1627,14
Ohio,US,865,3
Ohio,US,1583,16
Ohio,US,3525,34
Ohio,US,1916,14
Ohio,US,5864,48
Ohio,US,1888,21
Ohio,US,1539,14
Ohio,US,6325,62
Ohio,US,5170,23
Ohio,US,2978,30
Ohio,US,5403,24
Ohio,US,2444,16
Ohio,US,2509,15
Ohio,US,15079,196
Ohio,US,19393,188
Ohio,US,8352,121
Ohio,US,3746,45
Ohio,US,0,0
Ohio,US,4031,9
Ohio,US,1219,15
Ohio,US,663,7
Ohio,US,14797,68
Ohio,US,2493,19
Ohio,US,4546,62
Ohio,US,1563,18
Ohio,US,7484,38
Ohio,US,1016,11
Oklahoma,US,1528,2
Oklahoma,US,171,0
Oklahoma,US,622,1
Oklahoma,US,180,0
Oklahoma,US,1069,6
Oklahoma,US,490,2
Oklahoma,US,2983,2
Oklahoma,US,1808,6
Oklahoma,US,10142,16
Oklahoma,US,2717,4
Oklahoma,US,3066,4
Oklahoma,US,790,1
Oklahoma,US,85,0
Oklahoma,US,23708,33
Oklahoma,US,277,0
Oklahoma,US,6801,8
Oklahoma,US,230,1
Oklahoma,US,688,4
Oklahoma,US,3422,10
Oklahoma,US,1368,8
Oklahoma,US,1866,6
Oklahoma,US,206,1
Oklahoma,US,115,1
Oklahoma,US,2223,9
Oklahoma,US,1148,8
Oklahoma,US,3406,16
Oklahoma,US,190,4
Oklahoma,US,280,2
Oklahoma,US,72,1
Oklahoma,US,121,1
Oklahoma,US,434,1
Oklahoma,US,398,1
Oklahoma,US,1317,3
Oklahoma,US,194,0
Oklahoma,US,665,0
Oklahoma,US,2223,11
Oklahoma,US,798,0
Oklahoma,US,410,3
Oklahoma,US,336,3
Oklahoma,US,2062,4
Oklahoma,US,1573,1
Oklahoma,US,2907,13
Oklahoma,US,632,1
Oklahoma,US,725,0
Oklahoma,US,1182,1
Oklahoma,US,1425,5
Oklahoma,US,2328,4
Oklahoma,US,1510,2
Oklahoma,US,1180,2
Oklahoma,US,902,5
Oklahoma,US,3184,12
Oklahoma,US,591,1
Oklahoma,US,467,1
Oklahoma,US,634,3
Oklahoma,US,45916,57
Oklahoma,US,1406,5
Oklahoma,US,2058,5
Oklahoma,US,1350,4
Oklahoma,US,0,0
Oklahoma,US,756,1
Oklahoma,US,3107,7
Oklahoma,US,2109,14
Oklahoma,US,2807,3
Oklahoma,US,4926,18
Oklahoma,US,397,2
Oklahoma,US,119,1
Oklahoma,US,4964,15
Oklahoma,US,1168,1
Oklahoma,US,2064,0
Oklahoma,US,1473,8
Oklahoma,US,1001,4
Oklahoma,US,288,4
Oklahoma,US,32686,71
Oklahoma,US,53152,431
Oklahoma,US,5515,18
Oklahoma,US,1873,12
Oklahoma,US,619,4
Oklahoma,US,298,0
Oklahoma,US,510,5
Oregon,US,652,6
Oregon,US,6349,10
Oregon,US,19499,54
Oregon,US,1286,1
Oregon,US,1967,8
Oregon,US,3126,10
Oregon,US,1761,4
Oregon,US,881,1
Oregon,US,15959,17
Oregon,US,3582,18
Oregon,US,62,0
Oregon,US,305,1
Oregon,US,183,1
Oregon,US,899,2
Oregon,US,11854,47
Oregon,US,2138,3
Oregon,US,3532,36
Oregon,US,3401,13
Oregon,US,173,2
Oregon,US,18345,29
Oregon,US,2121,7
Oregon,US,7441,17
Oregon,US,1706,4
Oregon,US,20880,35
Oregon,US,801,1
Oregon,US,37466,62
Oregon,US,4773,6
Oregon,US,89,0
Oregon,US,882,5
Oregon,US,5500,7
Oregon,US,0,0
Oregon,US,1119,2
Oregon,US,346,1
Oregon,US,1332,5
Oregon,US,31653,33
Oregon,US,68,1
Oregon,US,5429,20
Pennsylvania,US,5292,52
Pennsylvania,US,72039,279
Pennsylvania,US,2629,26
Pennsylvania,US,8112,69
Pennsylvania,US,1637,23
Pennsylvania,US,21885,173
Pennsylvania,US,4752,73
Pennsylvania,US,3204,31
Pennsylvania,US,25836,188
Pennsylvania,US,9393,57
Pennsylvania,US,7195,50
Pennsylvania,US,117,5
Pennsylvania,US,3363,30
Pennsylvania,US,6914,32
Pennsylvania,US,19903,103
Pennsylvania,US,1318,17
Pennsylvania,US,3483,39
Pennsylvania,US,1691,12
Pennsylvania,US,2974,25
Pennsylvania,US,3691,23
Pennsylvania,US,11312,92
Pennsylvania,US,12596,109
Pennsylvania,US,25298,141
Pennsylvania,US,1365,8
Pennsylvania,US,12539,54
Pennsylvania,US,5734,49
Pennsylvania,US,283,3
Pennsylvania,US,8885,70
Pennsylvania,US,731,10
Pennsylvania,US,1513,12
Pennsylvania,US,2295,24
Pennsylvania,US,3641,27
